id,gen,loc,ct,wt
31,2,nv,100,0.3052
31,2,nv,150,0.415
31,2,nv,250,0.7401
31,2,nv,500,1.3999
31,2,nv,1000,2.8602
118,32,nv,100,0.2611
118,32,nv,150,0.4389
118,32,nv,250,0.7182
118,32,nv,500,1.3238
118,32,nv,1000,2.9198
19,1,nv,100,0.2143
19,1,nv,150,0.3022
19,1,nv,250,0.5312
19,1,nv,500,1.00122
19,1,nv,1000,2.04892
16,1,nv,100,0.2892
16,1,nv,150,0.4183
16,1,nv,250,0.7283
16,1,nv,500,1.2678
16,1,nv,1000,2.7036
75,8,nv,100,0.246
75,8,nv,150,0.3728
75,8,nv,250,0.6642
75,8,nv,500,1.3449
75,8,nv,1000,2.6279
72,8,nv,100,0.2574
72,8,nv,150,0.3787
72,8,nv,250,0.6111
72,8,nv,500,1.2985
72,8,nv,1000,2.5457
136,1,co,100,0.2608
136,1,co,150,0.4062
136,1,co,250,0.6402
136,1,co,500,1.3742
136,1,co,1000,2.6814