plot,loc,gen,row,col,seeds
1,NV,1,8,8,55.919
2,NV,1,24,4,33.624
3,NV,1,7,3,16.311
4,NV,1,4,1,36.041
5,NV,1,3,5,32.44
6,NV,1,7,1,20.442
7,NV,1,8,1,30.025
8,NV,1,19,6,64.913
9,NV,1,29,2,41.979
10,NV,1,12,5,41.468
21,NV,2,18,4,37.316
22,NV,2,3,1,15.244
23,NV,2,6,2,46.617
24,NV,2,4,8,26.033
25,NV,2,4,6,13.579
26,NV,2,27,1,22.315
27,NV,2,29,6,82.612
28,NV,2,10,4,35.003
29,NV,2,27,6,70.985
30,NV,2,26,2,40.475
41,NV,4,16,6,56.425
42,NV,4,24,6,69.492
43,NV,4,17,7,76.373
45,NV,4,12,2,60.648
47,NV,4,1,3,3.854
48,NV,4,30,6,73.048
49,NV,4,26,7,84.018
50,NV,4,27,2,25.71
51,NV,4,9,7,18.509
52,NV,4,21,7,68.386
61,NV,8,13,8,59.387
62,NV,8,20,8,63.408
63,NV,8,6,4,15.473
64,NV,8,4,10,71.368
65,NV,8,22,8,46.863
66,NV,8,2,2,16.027
67,NV,8,23,7,76.552
68,NV,8,11,7,50.142
69,NV,8,10,8,53.152
70,NV,8,14,8,64.354
81,NV,16,22,2,50.322
82,NV,16,23,6,90.526
83,NV,16,13,6,64.349
84,NV,16,24,1,25.34
85,NV,16,21,8,89.876
86,NV,16,30,2,53.563
87,NV,16,18,8,78.095
88,NV,16,29,3,69.64
89,NV,16,28,1,28.991
90,NV,16,22,3,27.569
121,CO,1,20,7,30.543
122,CO,1,15,9,76.725
123,CO,1,26,3,5.469
125,CO,1,19,1,3.038
126,CO,1,5,6,54.14
127,CO,1,30,4,113.51
128,CO,1,23,2,34.408
129,CO,1,21,6,88.193
130,CO,1,14,9,19.418
132,CO,1,10,6,28.919
141,CO,2,19,3,53.948
142,CO,2,12,6,71.304
143,CO,2,18,5,62.972
144,CO,2,29,7,73.735
145,CO,2,20,5,111.15
146,CO,2,10,7,28.581
147,CO,2,5,5,29.415
148,CO,2,8,2,21.065
149,CO,2,2,3,20.693
150,CO,2,19,4,63.36
161,CO,4,2,1,15.068
162,CO,4,18,7,59.485
163,CO,4,24,2,44.663
164,CO,4,28,4,62.477
165,CO,4,6,7,55.08
166,CO,4,10,5,58.688
167,CO,4,24,8,61.634
168,CO,4,13,1,51.506
169,CO,4,26,1,23.082
170,CO,4,12,7,57.613
181,CO,8,25,6,79.441
182,CO,8,14,3,48.503
183,CO,8,5,9,43.502
184,CO,8,5,8,59.868
185,CO,8,11,8,64.693
186,CO,8,6,9,57.064
187,CO,8,2,10,19.64
188,CO,8,5,2,26.276
189,CO,8,23,5,82.783
190,CO,8,22,7,68.049
205,CO,16,1,2,42.534
202,CO,16,13,9,43.68
204,CO,16,4,2,45.965
206,CO,16,13,2,51.866
215,CO,16,15,5,52.852
211,CO,16,23,8,56.897
213,CO,16,10,1,64.532
208,CO,16,7,7,65.747
203,CO,16,16,8,75.773
218,CO,16,26,9,83.73